id	genes
DarmanisBarres_FetalNeuronsreplicating	ENSG00000131747, ENSG00000089685, ENSG00000276043, ENSG00000175063, ENSG00000041982, ENSG00000087510, ENSG00000171848, ENSG00000168078, ENSG00000137804, ENSG00000148773, ENSG00000137807, ENSG00000184357, ENSG00000163508, ENSG00000092853, ENSG00000117724, ENSG00000170312, ENSG00000136492, ENSG00000178999
DarmanisBarres_FetalNeuronsreplicating_1	ENSG00000087510, ENSG00000163508
DarmanisBarres_FetalNeuronsreplicating_2	ENSG00000131747, ENSG00000089685, ENSG00000276043, ENSG00000175063, ENSG00000041982, ENSG00000171848, ENSG00000168078, ENSG00000137804, ENSG00000148773, ENSG00000137807, ENSG00000184357, ENSG00000092853, ENSG00000117724, ENSG00000170312, ENSG00000136492, ENSG00000178999
DarmanisBarres_microglia	ENSG00000148908, ENSG00000081237, ENSG00000115956, ENSG00000173391, ENSG00000038945, ENSG00000186818, ENSG00000136167, ENSG00000162511, ENSG00000140678, ENSG00000125538, ENSG00000169508, ENSG00000203747, ENSG00000073737, ENSG00000019582, ENSG00000143119, ENSG00000275302, ENSG00000277632, ENSG00000171860, ENSG00000125730, ENSG00000173372, ENSG00000132965
DarmanisBarres_microglia_1	ENSG00000148908, ENSG00000081237, ENSG00000115956, ENSG00000173391, ENSG00000038945, ENSG00000186818, ENSG00000136167, ENSG00000162511, ENSG00000140678, ENSG00000203747, ENSG00000073737, ENSG00000019582, ENSG00000143119, ENSG00000171860, ENSG00000125730, ENSG00000173372
DarmanisBarres_microglia_2	ENSG00000125538, ENSG00000169508, ENSG00000275302, ENSG00000277632, ENSG00000132965
DarmanisBarres_mixNeuronsAstrocytes	ENSG00000146469, ENSG00000114374, ENSG00000233864, ENSG00000092969, ENSG00000145248, ENSG00000087494, ENSG00000117707, ENSG00000165246, ENSG00000132938, ENSG00000012817, ENSG00000162687, ENSG00000115461, ENSG00000147246, ENSG00000136160, ENSG00000124749, ENSG00000066405, ENSG00000183166, ENSG00000172137
DarmanisBarres_mixNeuronsAstrocytes_1	ENSG00000146469, ENSG00000114374, ENSG00000165246, ENSG00000132938, ENSG00000012817, ENSG00000147246, ENSG00000124749, ENSG00000183166
DarmanisBarres_mixNeuronsAstrocytes_2	ENSG00000233864, ENSG00000092969, ENSG00000145248, ENSG00000087494, ENSG00000117707, ENSG00000162687, ENSG00000115461, ENSG00000136160, ENSG00000066405, ENSG00000172137
DarmanisBarres_mixOPCOligNeurons	ENSG00000090612, ENSG00000151229, ENSG00000166192, ENSG00000171951, ENSG00000123560, ENSG00000180287, ENSG00000175352, ENSG00000072163, ENSG00000174611, ENSG00000171004, ENSG00000127252, ENSG00000168453, ENSG00000144230, ENSG00000136235, ENSG00000101311, ENSG00000187957, ENSG00000187699, ENSG00000197927
